lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_val,pos_val,cell_val,atomic_numbers_val,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,,,loss_train,loss_val
,2199,0.386171579,2.225499153,0.006086715,0.157534987,14,,,,,,,,,,116,0.464721501,0.419383496
0.0001,2249,,,,,,,,,,,,,,,117,0.456088573,0.411866128
,2249,0.476250887,3.660352707,0.016696136,0.093519464,14,,,,,,,,,,118,0.446915865,0.416585088
0.0001,2299,,,,,,,,,,,,,,,119,0.451867431,0.392691731
,2299,0.365540594,2.236124277,0.022773799,0.119154364,14,,,,,,,,,,120,0.451620489,0.38501817
,2309,,,,,14,0.413201779,2.867352009,0.01214843,0.114318222,,,,,,121,0.446164817,0.408699363
,2309,,,,,14,,,,,0.469102204,3.292506933,0.014106424,0.125744879,,122,0.4432832,0.395971388
0.0001,2349,,,,,,,,,,,,,,,123,0.466242671,0.413828224
,2349,0.313225448,1.977865219,0.010126944,0.105311967,15,,,,,,,,,,124,0.445914358,0.416326672
0.0001,2399,,,,,,,,,,,,,,,125,0.459580034,0.406446725
,2399,0.354651183,2.69940567,0.005487871,0.079222746,15,,,,,,,,,,126,0.444594592,0.423023045
0.0001,2449,,,,,,,,,,,,,,,127,0.461501956,0.401943237
,2449,0.455335081,3.838072538,0.008793338,0.062734455,15,,,,,,,,,,128,0.445516437,0.403518081
,2463,,,,,15,0.408009529,2.807565451,0.011303484,0.115949556,,,,,,129,0.449560404,0.423265606
,2463,,,,,15,,,,,0.476347953,3.437104464,0.013383757,0.119253702,,130,0.446928591,0.398494214
0.0001,2499,,,,,,,,,,,,,,,131,0.463262826,0.408588678
,2499,0.391995162,2.041779518,0.005416312,0.182400882,16,,,,,,,,,,132,0.464938492,0.390633702
0.0001,2549,,,,,,,,,,,,,,,133,0.453460574,0.403731465
,2549,0.682630777,5.656819344,0.013896962,0.103051841,16,,,,,,,,,,134,0.457841128,0.414712399
0.0001,2599,,,,,,,,,,,,,,,135,0.466308981,0.414790511
,2599,0.411373973,3.081387997,0.007729375,0.095505819,16,,,,,,,,,,136,0.471103042,0.403592795
,2617,,,,,16,0.434427887,3.0420959,0.015337825,0.114880525,,,,,,137,0.446337521,0.400144011
,2617,,,,,16,,,,,0.469798297,3.371999979,0.012752165,0.119846195,,138,0.460592806,0.396180362
0.0001,2649,,,,,,,,,,,,,,,139,0.457908988,0.396559864
,2649,0.287268043,1.285306334,0.018738449,0.139998972,17,,,,,,,,,,140,0.455814689,0.393560618
0.0001,2699,,,,,,,,,,,,,,,141,0.450202286,0.427750319
,2699,0.564107239,4.216004372,0.030120341,0.11238645,17,,,,,,,,,,142,0.447009504,0.406760395
0.0001,2749,,,,,,,,,,,,,,,143,0.451279938,0.417608768
,2749,0.413858354,2.927458525,0.011076974,0.110035516,17,,,,,,,,,,144,0.453554809,0.413224548
,2771,,,,,17,0.406079024,2.798252344,0.010988952,0.115264803,,,,,,145,0.446732402,0.403006047
,2771,,,,,17,,,,,0.470551163,3.362531424,0.013760349,0.120537713,,146,0.452982992,0.418064356
0.0001,2799,,,,,,,,,,,,,,,147,0.455461711,0.392579198
,2799,0.393438041,3.053253889,0.015971325,0.07214132,18,,,,,,,,,,148,0.454747498,0.405156761
0.0001,2849,,,,,,,,,,,,,,,149,0.445304483,0.405629814
,2849,0.402928174,2.643908739,0.007288862,0.131248429,18,,,,,,,,,,150,0.450517863,0.398914635
0.0001,2899,,,,,,,,,,,,,,,151,0.451650947,0.422260851
,2899,0.506330192,3.096656322,0.01618748,0.180477068,18,,,,,,,,,,152,0.458281755,0.403535932
,2925,,,,,18,0.408593029,2.877809763,0.010309509,0.110502437,,,,,,153,0.454129189,0.390638441
,2925,,,,,18,,,,,0.467094511,3.318880081,0.013042117,0.122164331,,154,0.45262143,0.404769689
0.0001,2949,,,,,,,,,,,,,,,155,0.45482412,0.393057615
,2949,0.512696266,3.987886429,0.008560916,0.105346709,19,,,,,,,,,,156,0.454675406,0.404496908
0.0001,2999,,,,,,,,,,,,,,,157,0.451560438,0.410080492
,2999,0.497396737,4.052100658,0.008730236,0.083456427,19,,,,,,,,,,158,0.441169411,0.388707519
0.0001,3049,,,,,,,,,,,,,,,159,0.446521103,0.406707287
,3049,0.746686101,5.603354454,0.056612473,0.129738152,19,,,,,,,,,,160,0.460083276,0.392178744
,3079,,,,,19,0.424450904,3.016065121,0.010789124,0.112055257,,,,,,161,0.45325914,0.395496845
,3079,,,,,19,,,,,0.46769917,3.337334633,0.013978898,0.119986892,,162,0.450947523,0.400192261
0.0001,3099,,,,,,,,,,,,,,,163,0.441470891,0.409665614
,3099,0.371585667,2.408322811,0.007263461,0.123489946,20,,,,,,,,,,164,0.458274931,0.383651942
0.0001,3149,,,,,,,,,,,,,,,165,0.463860929,0.418999583
,3149,0.319133937,1.949702263,0.01080568,0.113358036,20,,,,,,,,,,166,0.461739391,0.408199906
0.0001,3199,,,,,,,,,,,,,,,167,0.44630748,0.424639195
,3199,0.457505941,3.325864792,0.009348694,0.115570761,20,,,,,,,,,,168,0.457004428,0.386528552
,3233,,,,,20,0.398548543,2.79780674,0.011720409,0.107047513,,,,,,169,0.460369378,0.412355751
,3233,,,,,20,,,,,0.480533391,3.478060961,0.014523057,0.118204363,,170,0.459583014,0.408513963
0.0001,3249,,,,,,,,,,,,,,,171,0.452388138,0.375625551
,3249,0.317421973,1.827588558,0.023682071,0.110981047,21,,,,,,,,,,172,0.453150719,0.415135711
0.0001,3299,,,,,,,,,,,,,,,173,0.464298755,0.385237515
,3299,0.369969934,2.596058369,0.004247668,0.106116422,21,,,,,,,,,,174,0.459010541,0.40207085
0.0001,3349,,,,,,,,,,,,,,,175,0.449627221,0.416768819
,3349,0.414137393,3.090082645,0.006410884,0.098718271,21,,,,,,,,,,176,0.431937903,0.418064564
,3387,,,,,21,0.405795693,2.864842415,0.008838073,0.110473372,,,,,,177,0.449077398,0.392769992
,3387,,,,,21,,,,,0.475770772,3.449064732,0.013373169,0.117491044,,178,0.446396977,0.410147756
0.0001,3399,,,,,,,,,,,,,,,179,0.454768211,0.406566858
,3399,0.45954299,2.888551235,0.011664666,0.159023196,22,,,,,,,,,,180,0.453174204,0.421740472
0.0001,3449,,,,,,,,,,,,,,,181,0.456116766,0.402037412
