Perovskite,Hill formula,Interlayer space composition,Dopant,"Dopant, wt%","Bandgap, eV",DOI,Materials Project ID,COD_ID,Springer_ID,Z,Z_MP,"a, A","b, A","c, A",Symmetry group,"d,A",a_MP,b_MP,c_MP,XRD pattern,Crystal structure,Number of octahedrons on a layer,Valence electrons,Volume,Valence Electrons Density,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,Average Pauling electronegativity,Average Mulliken electronegativity
HSr2Ta1.5Nb1.5O10,H Nb O10 Sr2 Ta,,Pt,4,3.74,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.76,7.76,33.24,,,0,,,1,,,20,0,,1.866666667,2.666666667,0.466666667,0.933333333,0.314606742,0.449438202,0.078651685,0.157303371,0.95,3.44,2.49,2.773333333,2.773333333,6.40624835
HSr2Ta2NbO10,H Nb O10 Sr2 Ta2,,Pt,4,3.78,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.76,7.76,33,,,0,,,1,,,20,0,,1.875,2.5,0.625,1.75,0.277777778,0.37037037,0.092592593,0.259259259,0.95,3.44,2.49,2.69375,2.69375,6.251879422
HSr2Ta3O10,H O10 Sr2 Ta3,,Pt,4,3.99,10.1016/j.solmat.2010.12.017,-1,-1,,,0,7.76,7.76,29.18,,,0,,,1,,,20,0,,1.9375,2.5,0.5625,2.625,0.254098361,0.327868852,0.073770492,0.344262295,0.95,3.44,2.49,2.6875,2.6875,6.258017984
KCa2Nb3O10,Ca2 K Nb3 O10,,,,3.5,10.1002/anie.201411494,mp-557195,1521061,,,4,,,,,,7.808443,7.854881,15.19056011,1,,,20,924.746948,0.086510153,1.75,2.5,0.75,0,0.35,0.5,0.15,0,0.82,3.44,2.62,2.62625,2.62625,5.966809681
NaLaSrNb2NiO9,La Na Nb2 Ni O9 Sr,,,,2.84,10.1021/cm902137s,-1,-1,,,0,3.97,3.97,22.5,,,0,,,,,,18,0,,1.8,2.4,1.133333333,0,0.3375,0.45,0.2125,0,0.93,3.44,2.51,2.603333333,2.603333333,5.914345959
CsLaSrNb2NiO9,Cs La Nb2 Ni O9 Sr,,,,3.48,10.1021/cm902137s,-1,-1,,,0,3.97,3.97,22.5,,,0,,,,,3,18,0,,1.8,2.4,1.133333333,0,0.3375,0.45,0.2125,0,0.79,3.44,2.65,2.594,2.594,5.870297051
HLaSrNb2NiO9,H La Nb2 Ni O9 Sr,,,,3.49,10.1021/cm902137s,-1,-1,,,0,,,,,,0,,,,,,18,0,,1.8,2.4,1.133333333,0,0.3375,0.45,0.2125,0,0.95,3.44,2.49,2.688,2.688,6.203213605
H2Ca4Nb6O20,Ca4 H2 Nb6 O20,,,,3.75,10.1016/j.jallcom.2006.11.201,-1,-1,,,0,3.853,3.853,29,,,0,,,1,,3,40,0,,1.75,2.5,0.75,0,0.35,0.5,0.15,0,1,3.44,2.44,2.7125,2.7125,6.264025611
H2Ca4Ta2Nb4O20,Ca4 H2 Nb4 O20 Ta2,,,,3.86,10.1016/j.jallcom.2006.11.201,-1,-1,,,0,3.853,3.853,31.24,,,0,,,1,,3,40,0,,1.8125,2.5,0.6875,0.875,0.308510638,0.425531915,0.117021277,0.14893617,1,3.44,2.44,2.70625,2.70625,6.270164173
H2Ca4Ta3Nb3O20,Ca4 H2 Nb3 O20 Ta3,,,,4.01,10.1016/j.jallcom.2006.11.201,-1,-1,,,0,3.853,3.853,31.54,,,0,,,1,,3,40,0,,1.84375,2.5,0.65625,1.3125,0.292079208,0.396039604,0.103960396,0.207920792,1,3.44,2.44,2.703125,2.703125,6.273233454
