loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,epoch,step,lr-Adam,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_step,loss_val
,,,,,1799,1.00E-06,,,,,,,,,129,2.058948517,
,,,,49,1799,,1.336438656,10.44353771,0.052697919,0.239386946,,,,,130,0.799905181,
,,,,49,1799,,,,,,2.671041012,22.4037838,0.110285603,0.32037738,131,1.294574976,
1.953946233,15.29900074,0.137519866,0.286526442,49,1799,,,,,,,,,,132,0.78253752,
2.043419838,15.87055588,0.141772285,0.314591706,50,1835,,,,,,,,,,133,3.139772892,
,,,,,1849,1.00E-06,,,,,,,,,134,3.36891818,
,,,,51,1849,,1.031577706,4.189306259,0.005875885,0.606771171,,,,,135,0.950353682,
1.898362279,14.2850914,0.125433996,0.344418854,51,1871,,,,,,,,,,136,1.97825861,
,,,,,1899,1.00E-06,,,,,,,,,137,1.616548538,
,,,,52,1899,,0.547828734,3.85344553,0.005102833,0.157381356,,,,,138,0.140361711,
1.949694753,15.74792957,0.065750435,0.309151083,52,1907,,,,,,,,,,139,0.212358236,
1.823918223,13.93242645,0.068705045,0.361970395,53,1943,,,,,,,,,,140,0.281616002,
,,,,,1949,1.00E-06,,,,,,,,,141,1.428748608,
,,,,54,1949,,1.647133827,10.47810555,0.00880379,0.590519309,,,,,142,2.287162304,
,,,,54,1979,,,,,,2.830205679,23.28240204,0.074483953,0.427481472,143,8.63679409,
2.0495224,16.03824234,0.092816778,0.352881104,54,1979,,,,,,,,,,144,2.61840868,
,,,,,1999,1.00E-06,,,,,,,,,,,
,,,,55,1999,,0.658786416,4.987846851,0.05034069,0.10966105,,,,,,,
1.621635914,11.50878239,0.063030332,0.40772748,55,2015,,,,,,,,,,,,
,,,,,2049,1.00E-06,,,,,,,,,,,
,,,,56,2049,,1.160200238,10.184165,0.025049182,0.116734557,,,,,,,
1.709002733,13.54309273,0.052285179,0.302408218,56,2051,,,,,,,,,,,,
1.644532323,12.2468977,0.058112338,0.361730278,57,2087,,,,,,,,,,,,
,,,,,2099,1.00E-06,,,,,,,,,,,
,,,,58,2099,,1.123760939,9.759609222,0.088292822,0.059507113,,,,,,,
2.108588934,17.05241966,0.12571609,0.277631164,58,2123,,,,,,,,,,,,
,,,,,2149,1.00E-06,,,,,,,,,,,
,,,,59,2149,,0.967508256,7.953736305,0.095834285,0.07630036,,,,,,,
,,,,59,2159,,,,,,2.2999053,16.74211693,0.093953103,0.531740665,,,
2.034929037,16.55251312,0.09534689,0.284330636,59,2159,,,,,,,,,,,,
1.877546549,14.93695545,0.105839781,0.278011262,60,2195,,,,,,,,,,,,
,,,,,2199,1.00E-06,,,,,,,,,,,
,,,,61,2199,,0.594461441,3.836651325,0.010686297,0.200110033,,,,,,,
1.572967529,12.00515461,0.052984536,0.319467843,61,2231,,,,,,,,,,,,
,,,,,2249,1.00E-06,,,,,,,,,,,
,,,,62,2249,,3.159019232,29.15799713,0.103462793,0.139756575,,,,,,,
1.585000396,12.61458015,0.072564721,0.250977844,62,2267,,,,,,,,,,,,
,,,,,2299,1.00E-06,,,,,,,,,,,
,,,,63,2299,,1.046430826,4.46615696,0.01363416,0.586181045,,,,,,,
1.825191259,14.19273758,0.083183818,0.32273379,63,2303,,,,,,,,,,,,
,,,,64,2339,,,,,,3.697279692,32.59521484,0.121774778,0.315982699,,,
1.983664155,15.62219048,0.054118797,0.3673262,64,2339,,,,,,,,,,,,
,,,,,2349,1.00E-06,,,,,,,,,,,
,,,,65,2349,,3.664556742,31.25963211,0.313139528,0.225453973,,,,,,,
1.807099819,13.53005028,0.08515837,0.36893639,65,2375,,,,,,,,,,,,
,,,,,2399,1.00E-06,,,,,,,,,,,
,,,,66,2399,,2.704459667,24.40569115,0.027136756,0.236753687,,,,,,,
1.828195095,14.32718372,0.099036179,0.296440333,66,2411,,,,,,,,,,,,
1.599660158,12.4297266,0.085895836,0.270791739,67,2447,,,,,,,,,,,,
,,,,,2449,1.00E-06,,,,,,,,,,,
,,,,68,2449,,0.216032982,0.161449492,0.001538676,0.198349357,,,,,,,
1.441247344,10.64862061,0.055274352,0.321110964,68,2483,,,,,,,,,,,,
,,,,,2499,1.00E-06,,,,,,,,,,,
,,,,69,2499,,0.329144299,1.262275934,0.010485097,0.192431599,,,,,,,
,,,,69,2519,,,,,,2.24649477,18.75252914,0.076621667,0.294620067,,,
1.738236904,14.22931576,0.066561721,0.248743609,69,2519,,,,,,,,,,,,
,,,,,2549,1.00E-06,,,,,,,,,,,
,,,,70,2549,,1.601655483,15.33159828,0.015920244,0.05257532,,,,,,,
1.760127783,14.05111027,0.075241536,0.279775411,70,2555,,,,,,,,,,,,
1.689361334,12.36940765,0.090076186,0.362344384,71,2591,,,,,,,,,,,,
,,,,,2599,1.00E-06,,,,,,,,,,,
,,,,72,2599,,3.092353582,27.84423637,0.294486701,0.013443247,,,,,,,
1.916026235,15.2473402,0.089474156,0.301817954,72,2627,,,,,,,,,,,,
,,,,,2649,1.00E-06,,,,,,,,,,,
,,,,73,2649,,4.244997501,32.93733978,0.153403446,0.797860086,,,,,,,
1.750730038,13.30893517,0.059135444,0.360701054,73,2663,,,,,,,,,,,,
,,,,,2699,1.00E-06,,,,,,,,,,,
,,,,74,2699,,2.073083162,14.91060352,0.05037728,0.531645596,,,,,,,
,,,,74,2699,,,,,,1.870360732,14.30962658,0.032022242,0.407375425,,,
1.804122448,14.48195267,0.069694623,0.28623262,74,2699,,,,,,,,,,,,
1.520661831,10.87142086,0.0939022,0.339617193,75,2735,,,,,,,,,,,,
,,,,,2749,1.00E-06,,,,,,,,,,,
,,,,76,2749,,0.507623672,2.023495913,0.076604791,0.228669301,,,,,,,
1.71677196,13.41193295,0.10120219,0.274376422,76,2771,,,,,,,,,,,,
,,,,,2799,1.00E-06,,,,,,,,,,,
,,,,77,2799,,0.884537458,0.00748574,0.014576324,0.869212508,,,,,,,
1.759426475,13.8029108,0.053450186,0.325685143,77,2807,,,,,,,,,,,,
1.599507451,11.66000557,0.068408288,0.365098506,78,2843,,,,,,,,,,,,
,,,,,2849,1.00E-06,,,,,,,,,,,
,,,,79,2849,,1.351709843,11.76053047,0.025824731,0.14983198,,,,,,,
,,,,79,2879,,,,,,1.543791771,11.05752563,0.060970705,0.37706846,,,
1.747462869,13.81646633,0.049563918,0.316252291,79,2879,,,,,,,,,,,,
,,,,,2899,1.00E-06,,,,,,,,,,,
,,,,80,2899,,2.900490284,16.83040619,0.051350996,1.166098714,,,,,,,
1.791303158,14.5410223,0.06930922,0.267891616,80,2915,,,,,,,,,,,,
,,,,,2949,1.00E-06,,,,,,,,,,,
,,,,81,2949,,2.479929924,21.11829758,0.007057532,0.36104238,,,,,,,
1.945004344,15.69531727,0.074815467,0.300657034,81,2951,,,,,,,,,,,,
1.548893452,11.66384983,0.050744351,0.331764221,82,2987,,,,,,,,,,,,
,,,,,2999,1.00E-06,,,,,,,,,,,
,,,,83,2999,,1.465287685,14.00320625,0.003845498,0.061121389,,,,,,,
2.030097008,16.76015091,0.058955178,0.295127094,83,3023,,,,,,,,,,,,
,,,,,3049,1.00E-06,,,,,,,,,,,
,,,,84,3049,,1.829999804,13.41068459,0.432227492,0.056703839,,,,,,,
,,,,84,3059,,,,,,2.533937931,21.74404526,0.082066558,0.277466774,,,
1.571485043,11.95253849,0.056128953,0.320102125,84,3059,,,,,,,,,,,,
1.583965421,11.64800262,0.087106653,0.33205837,85,3095,,,,,,,,,,,,
,,,,,3099,1.00E-06,,,,,,,,,,,
,,,,86,3099,,3.830639362,33.10908508,0.041342832,0.478387952,,,,,,,
1.986551046,15.89171314,0.160392955,0.236986846,86,3131,,,,,,,,,,,,
,,,,,3149,1.00E-06,,,,,,,,,,,
,,,,87,3149,,0.868730426,4.774544239,0.027061392,0.364214718,,,,,,,
1.915455461,14.80564499,0.144382358,0.290508658,87,3167,,,,,,,,,,,,
,,,,,3199,1.00E-06,,,,,,,,,,,
,,,,88,3199,,0.774806261,0.000696315,0.004851718,0.769884944,,,,,,,
1.972244859,16.30112457,0.102703936,0.23942855,88,3203,,,,,,,,,,,,
,,,,89,3239,,,,,,2.353719711,17.30422592,0.103447035,0.519850194,,,
1.68330729,12.96431828,0.068603486,0.318272054,89,3239,,,,,,,,,,,,
,,,,,3249,1.00E-06,,,,,,,,,,,
,,,,90,3249,,1.813696623,16.27609062,0.095620535,0.090466961,,,,,,,
1.913145661,15.13313293,0.089536138,0.310296297,90,3275,,,,,,,,,,,,
,,,,,3299,1.00E-06,,,,,,,,,,,
,,,,91,3299,,3.02566123,22.28889656,0.560590267,0.236181185,,,,,,,
1.934254527,15.56805229,0.075841866,0.301606983,91,3311,,,,,,,,,,,,
1.912528157,15.32649708,0.109181844,0.270696163,92,3347,,,,,,,,,,,,
,,,,,3349,1.00E-06,,,,,,,,,,,
,,,,93,3349,,0.249440193,0.364198148,0.00161626,0.211404115,,,,,,,
1.744918346,13.26300526,0.097192556,0.32142511,93,3383,,,,,,,,,,,,
,,,,,3399,1.00E-06,,,,,,,,,,,
,,,,94,3399,,0.50623703,0.525989294,0.004063379,0.449574739,,,,,,,
,,,,94,3419,,,,,,2.916708946,24.59511185,0.116206884,0.340991169,,,
1.900605559,15.94116879,0.054852769,0.251635611,94,3419,,,,,,,,,,,,
,,,,,3449,1.00E-06,,,,,,,,,,,
,,,,95,3449,,0.968535304,2.619127512,0.010923815,0.695698738,,,,,,,
