lr-Adam,step,loss_train_step,pos_train_step,cell_train_step,atomic_numbers_train_step,epoch,loss_train_epoch,pos_train_epoch,cell_train_epoch,atomic_numbers_train_epoch,loss_val,pos_val,cell_val,atomic_numbers_val,,loss_train_epoch,loss_val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1599,2.365766287,19.50048447,0.030998539,0.384719193,29,,,,,,,,,98,1.24816215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1619,,,,,29,,,,,1.218709707,10.33058739,0.016669516,0.168981418,99,1.080139995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1619,,,,,29,1.68181026,14.0003624,0.034951489,0.246822476,,,,,100,1.032613397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1649,,,,,,,,,,,,,,101,1.295252681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1649,6.202030659,57.57529068,0.153414309,0.291086704,30,,,,,,,,,102,1.09376812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1673,,,,,30,1.463289142,12.45476723,0.027427234,0.190384895,,,,,103,1.054400802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1699,,,,,,,,,,,,,,104,1.219280124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1699,0.220062524,0.816186011,0.003128866,0.135315061,31,,,,,,,,,105,1.231947899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1727,,,,,31,1.653089285,13.96508217,0.03716398,0.219416842,,,,,106,0.985563576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1749,,,,,,,,,,,,,,107,1.173018098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1749,2.771297693,27.35433769,0.028122829,0.007740942,32,,,,,,,,,108,1.233891487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1781,,,,,32,1.156469941,9.446752548,0.027890172,0.183904782,,,,,109,1.150248528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1799,,,,,,,,,,,,,,110,1.077119589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1799,2.704795837,18.85474396,0.014891957,0.804429412,33,,,,,,,,,111,1.101044774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1835,,,,,33,1.455188513,12.18419266,0.048756655,0.188012317,,,,,112,1.068466783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1849,,,,,,,,,,,,,,113,1.258528352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1849,1.232706666,11.12868786,0.014054831,0.105783083,34,,,,,,,,,114,1.023730159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1889,,,,,34,,,,,1.32420516,11.13381958,0.028528091,0.182295173,115,1.288672686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1889,,,,,34,1.162177444,9.432814598,0.027360404,0.191535681,,,,,116,1.183563948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1899,,,,,,,,,,,,,,117,0.984201133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1899,0.749084353,5.501825333,0.005027167,0.193874583,35,,,,,,,,,118,1.225526452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1943,,,,,35,1.3637743,11.52016544,0.027355313,0.184402078,,,,,119,0.951515436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-06,1949,,,,,,,,,,,,,,120,1.133478999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1949,0.225108936,1.68852663,0.056151651,0.000104616,36,,,,,,,,,121,0.9929564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1997,,,,,36,1.238521695,10.3184576,0.032756206,0.173919559,,,,,122,1.116247296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
